#,Name,Type 1,Type 2,HP,Attack,Defense,SpAtk,SpDef,Speed,Total
429,Mismagius,Ghost,-,60,60,60,105,105,105,495
430,Honchkrow,Dark,Flying,100,125,52,105,52,71,505
431,Glameow,Normal,-,49,55,42,42,37,85,310
432,Purugly,Normal,-,71,82,64,64,59,112,452
433,Chingling,Psychic,-,45,30,50,65,50,45,285
434,Stunky,Poison,Dark,63,63,47,41,41,74,329
435,Skuntank,Poison,Dark,103,93,67,71,61,84,479
436,Bronzor,Steel,Psychic,57,24,86,24,86,23,300
437,Bronzong,Steel,Psychic,67,89,116,79,116,33,500
438,Bonsly,Rock,-,50,80,95,10,45,10,290
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,310
440,Happiny,Normal,-,100,5,5,15,65,30,220
441,Chatot,Normal,Flying,76,65,45,92,42,91,411
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35,485
443,Gible,Dragon,Ground,58,70,45,40,45,42,300
444,Gabite,Dragon,Ground,68,90,65,50,55,82,410
445,Garchomp,Dragon,Ground,108,130,95,80,85,102,600
445,Mega Garchomp,Dragon,Ground,108,170,115,120,95,92,700
446,Munchlax,Normal,-,135,85,40,40,85,5,390
447,Riolu,Fighting,-,40,70,40,35,40,60,285
448,Lucario,Fighting,Steel,70,110,70,115,70,90,525
448,Mega Lucario,Fighting,Steel,70,145,88,140,70,112,625
449,Hippopotas,Ground,-,68,72,78,38,42,32,330
450,Hippowdon,Ground,-,108,112,118,68,72,47,525
451,Skorupi,Poison,Bug,40,50,90,30,55,65,330
452,Drapion,Poison,Dark,70,90,110,60,75,95,500
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,300
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490
455,Carnivine,Grass,-,74,100,72,90,72,46,454
456,Finneon,Water,-,49,49,56,49,61,66,330
457,Lumineon,Water,-,69,69,76,69,86,91,460
458,Mantyke,Water,Flying,45,20,50,60,120,50,345
459,Snover,Grass,Ice,60,62,50,62,60,40,334
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494
460,Mega Abomasnow,Grass,Ice,90,132,105,132,105,30,594
461,Weavile,Dark,Ice,70,120,65,45,85,125,510
462,Magnezone,Electric,Steel,70,70,115,130,90,60,535
463,Lickilicky,Normal,-,110,85,95,80,95,50,515
464,Rhyperior,Ground,Rock,115,140,130,55,55,40,535
465,Tangrowth,Grass,-,100,100,125,110,50,50,535
466,Electivire,Electric,-,75,123,67,95,85,95,540
467,Magmortar,Fire,-,75,95,67,125,95,83,540
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,545
469,Yanmega,Bug,Flying,86,76,86,116,56,95,515
470,Leafeon,Grass,-,65,110,130,60,65,95,525
471,Glaceon,Ice,-,65,60,110,130,95,65,525
472,Gliscor,Ground,Flying,75,95,125,45,75,95,510
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530
474,Porygon-Z,Normal,-,85,80,70,135,75,90,535
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518
475,Mega Gallade,Psychic,Fighting,68,165,95,65,115,110,618
476,Probopass,Rock,Steel,60,55,145,75,150,40,525
477,Dusknoir,Ghost,-,45,100,135,65,135,45,525
478,Froslass,Ice,Ghost,70,80,70,80,70,110,480
479,Rotom,Electric,Ghost,50,50,77,95,77,91,440
479,RotomHeat Rotom,Electric,Fire,50,65,107,105,107,86,520
479,RotomWash Rotom,Electric,Water,50,65,107,105,107,86,520
479,RotomFrost Rotom,Electric,Ice,50,65,107,105,107,86,520
479,RotomFan Rotom,Electric,Flying,50,65,107,105,107,86,520
479,RotomMow Rotom,Electric,Grass,50,65,107,105,107,86,520
480,Uxie,Psychic,-,75,75,130,75,130,95,580
481,Mesprit,Psychic,-,80,105,105,105,105,80,580
482,Azelf,Psychic,-,75,125,70,125,70,115,580
483,Dialga,Steel,Dragon,100,120,120,150,100,90,680
484,Palkia,Water,Dragon,90,120,100,150,120,100,680
485,Heatran,Fire,Steel,91,90,106,130,106,77,600
486,Regigigas,Normal,-,110,160,110,80,110,100,670
487,GiratinaAltered Forme,Ghost,Dragon,150,100,120,100,120,90,680
487,GiratinaOrigin Forme,Ghost,Dragon,150,120,100,120,100,90,680
488,Cresselia,Psychic,-,120,70,120,75,130,85,600
489,Phione,Water,-,80,80,80,80,80,80,480
490,Manaphy,Water,-,100,100,100,100,100,100,600
491,Darkrai,Dark,-,70,90,90,135,90,125,600
492,ShayminLand Forme,Grass,-,100,100,100,100,100,100,600
492,ShayminSky Forme,Grass,Flying,100,103,75,120,75,127,600
493,Arceus,Normal,-,120,120,120,120,120,120,720
494,Victini,Psychic,Fire,100,100,100,100,100,100,600
495,Snivy,Grass,-,45,45,55,45,55,63,308
496,Servine,Grass,-,60,60,75,60,75,83,413
497,Serperior,Grass,-,75,75,95,75,95,113,528
498,Tepig,Fire,-,65,63,45,45,45,45,308
499,Pignite,Fire,Fighting,90,93,55,70,55,55,418
500,Emboar,Fire,Fighting,110,123,65,100,65,65,528
501,Oshawott,Water,-,55,55,45,63,45,45,308
502,Dewott,Water,-,75,75,60,83,60,60,413
503,Samurott,Water,-,95,100,85,108,70,70,528
504,Patrat,Normal,-,45,55,39,35,39,42,255
505,Watchog,Normal,-,60,85,69,60,69,77,420
506,Lillipup,Normal,-,45,60,45,25,45,55,275
507,Herdier,Normal,-,65,80,65,35,65,60,370
508,Stoutland,Normal,-,85,110,90,45,90,80,500
509,Purrloin,Dark,-,41,50,37,50,37,66,281
510,Liepard,Dark,-,64,88,50,88,50,106,446
511,Pansage,Grass,-,50,53,48,53,48,64,316
512,Simisage,Grass,-,75,98,63,98,63,101,498
513,Pansear,Fire,-,50,53,48,53,48,64,316
514,Simisear,Fire,-,75,98,63,98,63,101,498
515,Panpour,Water,-,50,53,48,53,48,64,316
516,Simipour,Water,-,75,98,63,98,63,101,498
517,Munna,Psychic,-,76,25,45,67,55,24,292
518,Musharna,Psychic,-,116,55,85,107,95,29,487
519,Pidove,Normal,Flying,50,55,50,36,30,43,264
520,Tranquill,Normal,Flying,62,77,62,50,42,65,358
521,Unfezant,Normal,Flying,80,115,80,65,55,93,488
522,Blitzle,Electric,-,45,60,32,50,32,76,295
523,Zebstrika,Electric,-,75,100,63,80,63,116,497
524,Roggenrola,Rock,-,55,75,85,25,25,15,280
525,Boldore,Rock,-,70,105,105,50,40,20,390
526,Gigalith,Rock,-,85,135,130,60,80,25,515
527,Woobat,Psychic,Flying,55,45,43,55,43,72,313
528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425
529,Drilbur,Ground,-,60,85,40,30,45,68,328
530,Excadrill,Ground,Steel,110,135,60,50,65,88,508
531,Audino,Normal,-,103,60,86,60,86,50,445
531,Mega Audino,Normal,Fairy,103,60,126,80,126,50,545
532,Timburr,Fighting,-,75,80,55,25,35,35,305
533,Gurdurr,Fighting,-,85,105,85,40,50,40,405
534,Conkeldurr,Fighting,-,105,140,95,55,65,45,505
535,Tympole,Water,-,50,50,40,50,40,64,294
536,Palpitoad,Water,Ground,75,65,55,65,55,69,384
537,Seismitoad,Water,Ground,105,95,75,85,75,74,509
538,Throh,Fighting,-,120,100,85,30,85,45,465
539,Sawk,Fighting,-,75,125,75,30,75,85,465
540,Sewaddle,Bug,Grass,45,53,70,40,60,42,310
541,Swadloon,Bug,Grass,55,63,90,50,80,42,380
542,Leavanny,Bug,Grass,75,103,80,70,80,92,500
543,Venipede,Bug,Poison,30,45,59,30,39,57,260
544,Whirlipede,Bug,Poison,40,55,99,40,79,47,360
545,Scolipede,Bug,Poison,60,100,89,55,69,112,485
546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,480
548,Petilil,Grass,-,45,35,50,70,50,30,280
549,Lilligant,Grass,-,70,60,75,110,75,90,480
550,Basculin,Water,-,70,92,65,80,55,98,460
551,Sandile,Ground,Dark,50,72,35,35,35,65,292
552,Krokorok,Ground,Dark,60,82,45,45,45,74,351
553,Krookodile,Ground,Dark,95,117,80,65,70,92,519
554,Darumaka,Fire,-,70,90,45,15,45,50,315
555,DarmanitanStandard Mode,Fire,-,105,140,55,30,55,95,480
555,DarmanitanZen Mode,Fire,Psychic,105,30,105,140,105,55,540
556,Maractus,Grass,-,75,86,67,106,67,60,461
557,Dwebble,Bug,Rock,50,65,85,35,35,55,325
558,Crustle,Bug,Rock,70,95,125,65,75,45,475
559,Scraggy,Dark,Fighting,50,75,70,35,70,48,348
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,488
561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,490
562,Yamask,Ghost,-,38,30,85,55,65,30,303
563,Cofagrigus,Ghost,-,58,50,145,95,105,30,483
564,Tirtouga,Water,Rock,54,78,103,53,45,22,355
565,Carracosta,Water,Rock,74,108,133,83,65,32,495
566,Archen,Rock,Flying,55,112,45,74,45,70,401
567,Archeops,Rock,Flying,75,140,65,112,65,110,567
568,Trubbish,Poison,-,50,50,62,40,62,65,329
569,Garbodor,Poison,-,80,95,82,60,82,75,474
570,Zorua,Dark,-,40,65,40,80,40,65,330
571,Zoroark,Dark,-,60,105,60,120,60,105,510
572,Minccino,Normal,-,55,50,40,40,40,75,300
573,Cinccino,Normal,-,75,95,60,65,60,115,470
574,Gothita,Psychic,-,45,30,50,55,65,45,290
575,Gothorita,Psychic,-,60,45,70,75,85,55,390
576,Gothitelle,Psychic,-,70,55,95,95,110,65,490
577,Solosis,Psychic,-,45,30,40,105,50,20,290
578,Duosion,Psychic,-,65,40,50,125,60,30,370
579,Reuniclus,Psychic,-,110,65,75,125,85,30,490
580,Ducklett,Water,Flying,62,44,50,44,50,55,305
581,Swanna,Water,Flying,75,87,63,87,63,98,473
582,Vanillite,Ice,-,36,50,50,65,60,44,305
583,Vanillish,Ice,-,51,65,65,80,75,59,395
584,Vanilluxe,Ice,-,71,95,85,110,95,79,535
585,Deerling,Normal,Grass,60,60,50,40,50,75,335
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95,475
587,Emolga,Electric,Flying,55,75,60,75,60,103,428
588,Karrablast,Bug,-,50,75,45,40,45,60,315
589,Escavalier,Bug,Steel,70,135,105,60,105,20,495
590,Foongus,Grass,Poison,69,55,45,55,55,15,294
591,Amoonguss,Grass,Poison,114,85,70,85,80,30,464
592,Frillish,Water,Ghost,55,40,50,65,85,40,335
593,Jellicent,Water,Ghost,100,60,70,85,105,60,480
594,Alomomola,Water,-,165,75,80,40,45,65,470
595,Joltik,Bug,Electric,50,47,50,57,50,65,319
596,Galvantula,Bug,Electric,70,77,60,97,60,108,472
597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,489
599,Klink,Steel,-,40,55,70,45,60,30,300
600,Klang,Steel,-,60,80,95,70,85,50,440
601,Klinklang,Steel,-,60,100,115,70,85,90,520
602,Tynamo,Electric,-,35,55,40,45,40,60,275
603,Eelektrik,Electric,-,65,85,70,75,70,40,405
604,Eelektross,Electric,-,85,115,80,105,80,50,515
605,Elgyem,Psychic,-,55,55,55,85,55,30,335
606,Beheeyem,Psychic,-,75,75,75,125,95,40,485
607,Litwick,Ghost,Fire,50,30,55,65,55,20,275
608,Lampent,Ghost,Fire,60,40,60,95,60,55,370
609,Chandelure,Ghost,Fire,60,55,90,145,90,80,520
610,Axew,Dragon,-,46,87,60,30,40,57,320
611,Fraxure,Dragon,-,66,117,70,40,50,67,410
612,Haxorus,Dragon,-,76,147,90,60,70,97,540
613,Cubchoo,Ice,-,55,70,40,60,40,40,305
614,Beartic,Ice,-,95,110,80,70,80,50,485
615,Cryogonal,Ice,-,70,50,30,95,135,105,485
616,Shelmet,Bug,-,50,40,85,40,65,25,305
617,Accelgor,Bug,-,80,70,40,100,60,145,495
618,Stunfisk,Ground,Electric,109,66,84,81,99,32,471
619,Mienfoo,Fighting,-,45,85,50,55,50,65,350
620,Mienshao,Fighting,-,65,125,60,95,60,105,510
621,Druddigon,Dragon,-,77,120,90,60,90,48,485
622,Golett,Ground,Ghost,59,74,50,35,50,35,303
623,Golurk,Ground,Ghost,89,124,80,55,80,55,483
624,Pawniard,Dark,Steel,45,85,70,40,40,60,340
625,Bisharp,Dark,Steel,65,125,100,60,70,70,490
626,Bouffalant,Normal,-,95,110,95,40,95,55,490
627,Rufflet,Normal,Flying,70,83,50,37,50,60,350
628,Braviary,Normal,Flying,100,123,75,57,75,80,510
629,Vullaby,Dark,Flying,70,55,75,45,65,60,370
630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,510
631,Heatmor,Fire,-,85,97,66,105,66,65,484
632,Durant,Bug,Steel,58,109,112,48,48,109,484
633,Deino,Dark,Dragon,52,65,50,45,50,38,300
634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,600
636,Larvesta,Bug,Fire,55,85,55,50,55,60,360
637,Volcarona,Bug,Fire,85,60,65,135,105,100,550
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,580
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,580
640,Virizion,Grass,Fighting,91,90,72,90,129,108,580
641,TornadusIncarnate Forme,Flying,-,79,115,70,125,80,111,580
641,TornadusTherian Forme,Flying,-,79,100,80,110,90,121,580
642,ThundurusIncarnate Forme,Electric,Flying,79,115,70,125,80,111,580
642,ThundurusTherian Forme,Electric,Flying,79,105,70,145,80,101,580
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,680
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,680
645,LandorusIncarnate Forme,Ground,Flying,89,125,90,115,80,101,600
645,LandorusTherian Forme,Ground,Flying,89,145,90,105,80,91,600
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,660
646,KyuremBlack Kyurem,Dragon,Ice,125,170,100,120,90,95,700
646,KyuremWhite Kyurem,Dragon,Ice,125,120,90,170,100,95,700
647,KeldeoOrdinary Forme,Water,Fighting,91,72,90,129,90,108,580
647,KeldeoResolute Forme,Water,Fighting,91,72,90,129,90,108,580
648,MeloettaAria Forme,Normal,Psychic,100,77,77,128,128,90,600
648,MeloettaPirouette Forme,Normal,Fighting,100,128,90,77,77,128,600
649,Genesect,Bug,Steel,71,120,95,120,95,99,600
650,Chespin,Grass,-,56,61,65,48,45,38,313
651,Quilladin,Grass,-,61,78,95,56,58,57,405
652,Chesnaught,Grass,Fighting,88,107,122,74,75,64,530
653,Fennekin,Fire,-,40,45,40,62,60,60,307
654,Braixen,Fire,-,59,59,58,90,70,73,409
655,Delphox,Fire,Psychic,75,69,72,114,100,104,534
656,Froakie,Water,-,41,56,40,62,44,71,314
657,Frogadier,Water,-,54,63,52,83,56,97,405
658,Greninja,Water,Dark,72,95,67,103,71,122,530
659,Bunnelby,Normal,-,38,36,38,32,36,57,237
660,Diggersby,Normal,Ground,85,56,77,50,77,78,423
661,Fletchling,Normal,Flying,45,50,43,40,38,62,278
662,Fletchinder,Fire,Flying,62,73,55,56,52,84,382
663,Talonflame,Fire,Flying,78,81,71,74,69,126,499
664,Scatterbug,Bug,-,38,35,40,27,25,35,200
665,Spewpa,Bug,-,45,22,60,27,30,29,213
666,Vivillon,Bug,Flying,80,52,50,90,50,89,411
667,Litleo,Fire,Normal,62,50,58,73,54,72,369
668,Pyroar,Fire,Normal,86,68,72,109,66,106,507
669,Flabébé,Fairy,-,44,38,39,61,79,42,303
670,Floette,Fairy,-,54,45,47,75,98,52,371
671,Florges,Fairy,-,78,65,68,112,154,75,552
672,Skiddo,Grass,-,66,65,48,62,57,52,350
673,Gogoat,Grass,-,123,100,62,97,81,68,531
674,Pancham,Fighting,-,67,82,62,46,48,43,348
675,Pangoro,Fighting,Dark,95,124,78,69,71,58,495
676,Furfrou,Normal,-,75,80,60,65,90,102,472
677,Espurr,Psychic,-,62,48,54,63,60,68,355
678,MeowsticMale,Psychic,-,74,48,76,83,81,104,466
678,MeowsticFemale,Psychic,-,74,48,76,83,81,104,466
679,Honedge,Steel,Ghost,45,80,100,35,37,28,325
680,Doublade,Steel,Ghost,59,110,150,45,49,35,448
681,AegislashBlade Forme,Steel,Ghost,60,150,50,150,50,60,520
681,AegislashShield Forme,Steel,Ghost,60,50,150,50,150,60,520
682,Spritzee,Fairy,-,78,52,60,63,65,23,341
683,Aromatisse,Fairy,-,101,72,72,99,89,29,462
684,Swirlix,Fairy,-,62,48,66,59,57,49,341
685,Slurpuff,Fairy,-,82,80,86,85,75,72,480
686,Inkay,Dark,Psychic,53,54,53,37,46,45,288
687,Malamar,Dark,Psychic,86,92,88,68,75,73,482
688,Binacle,Rock,Water,42,52,67,39,56,50,306
689,Barbaracle,Rock,Water,72,105,115,54,86,68,500
690,Skrelp,Poison,Water,50,60,60,60,60,30,320
691,Dragalge,Poison,Dragon,65,75,90,97,123,44,494
692,Clauncher,Water,-,50,53,62,58,63,44,330
693,Clawitzer,Water,-,71,73,88,120,89,59,500
694,Helioptile,Electric,Normal,44,38,33,61,43,70,289
695,Heliolisk,Electric,Normal,62,55,52,109,94,109,481
696,Tyrunt,Rock,Dragon,58,89,77,45,45,48,362
697,Tyrantrum,Rock,Dragon,82,121,119,69,59,71,521
698,Amaura,Rock,Ice,77,59,50,67,63,46,362
699,Aurorus,Rock,Ice,123,77,72,99,92,58,521
700,Sylveon,Fairy,-,95,65,65,110,130,60,525
701,Hawlucha,Fighting,Flying,78,92,75,74,63,118,500
702,Dedenne,Electric,Fairy,67,58,57,81,67,101,431
703,Carbink,Rock,Fairy,50,50,150,50,150,50,500
704,Goomy,Dragon,-,45,50,35,55,75,40,300
705,Sliggoo,Dragon,-,68,75,53,83,113,60,452
706,Goodra,Dragon,-,90,100,70,110,150,80,600
707,Klefki,Steel,Fairy,57,80,91,80,87,75,470
708,Phantump,Ghost,Grass,43,70,48,50,60,38,309
709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474
710,PumpkabooAverage Size,Ghost,Grass,49,66,70,44,55,51,335
710,PumpkabooSmall Size,Ghost,Grass,44,66,70,44,55,56,335
710,PumpkabooLarge Size,Ghost,Grass,54,66,70,44,55,46,335
710,PumpkabooSuper Size,Ghost,Grass,59,66,70,44,55,41,335
711,GourgeistAverage Size,Ghost,Grass,65,90,122,58,75,84,494
711,GourgeistSmall Size,Ghost,Grass,55,85,122,58,75,99,494
711,GourgeistLarge Size,Ghost,Grass,75,95,122,58,75,69,494
711,GourgeistSuper Size,Ghost,Grass,85,100,122,58,75,54,494
712,Bergmite,Ice,-,55,69,85,32,35,28,304
713,Avalugg,Ice,-,95,117,184,44,46,28,514
714,Noibat,Flying,Dragon,40,30,35,45,40,55,245
715,Noivern,Flying,Dragon,85,70,80,97,80,123,535
716,Xerneas,Fairy,-,126,131,95,131,98,99,680
717,Yveltal,Dark,Flying,126,131,95,131,98,99,680
718,Zygarde50% Forme,Dragon,Ground,108,100,121,81,95,95,600
719,Diancie,Rock,Fairy,50,100,150,100,150,50,600
719,Mega Diancie,Rock,Fairy,50,160,110,160,110,110,700
720,HoopaHoopa Confined,Psychic,Ghost,80,110,60,150,130,70,600
720,HoopaHoopa Unbound,Psychic,Dark,80,160,60,170,130,80,680
721,Volcanion,Fire,Water,80,110,120,130,90,70,600
